Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2019-08-13 12:51:46 PM CEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\Administrator\Documents\Experiments\Gilles\SYBR\Honeybees\20190813_OtherHives.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,20190813_OtherHives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2019-08-13 12:36:39 PM CEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Comparative Cт (ΔΔCт) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,272510497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,272510497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 5 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,Quantity,Quantity Mean,Quantity SD,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Delta Ct,Delta Ct Mean,Delta Ct SD,Delta Ct SE,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,OUTLIERRG,AMPNC,HIGHSD,MTP,Tm1,Tm2,Tm3,Tm4
1,A1,false,N04,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,13.923531,14.156792,0.389454,,-10.93664,0.400502,0.23123,,false,1,true,3,7,Amp,,0.961976,N,N,N,Y,82.647217,65.811768,,
2,A2,false,N04,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,13.940456,14.156792,0.389454,,-10.93664,0.400502,0.23123,,false,1,true,3,7,Amp,,0.973644,N,N,N,Y,82.647217,65.513794,,
3,A3,false,N04,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.606389,14.156792,0.389454,,-10.93664,0.400502,0.23123,,false,1,true,3,7,Amp,,0.962703,Y,N,N,Y,82.946709,65.514313,,
4,A4,false,N06,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,13.853202,13.957634,0.123159,,-11.107267,0.182146,0.105162,,false,1,true,3,7,Amp,,0.97562,N,N,N,Y,82.946709,64.471344,,
5,A5,false,N06,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.093448,13.957634,0.123159,,-11.107267,0.182146,0.105162,,false,1,true,3,7,Amp,,0.965323,N,N,N,Y,82.944962,64.471405,,
6,A6,false,N06,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,13.926251,13.957634,0.123159,,-11.107267,0.182146,0.105162,,false,1,true,3,7,Amp,,0.980671,N,N,N,Y,82.944962,64.322426,,
7,A7,false,N08,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.200687,14.267013,0.113824,,-11.035273,0.255258,0.147374,,false,1,true,3,7,Amp,,0.950585,N,N,N,Y,82.795181,64.321465,,
8,A8,false,N08,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.398443,14.267013,0.113824,,-11.035273,0.255258,0.147374,,false,1,true,3,7,Amp,,0.968332,N,N,N,Y,82.795181,64.321465,,
9,A9,false,N08,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.201907,14.267013,0.113824,,-11.035273,0.255258,0.147374,,false,1,true,3,7,Amp,,0.966873,N,N,N,Y,82.944763,64.322227,,
10,A10,false,N10,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.08601,14.418594,0.293441,,-10.752564,0.312688,0.18053,,false,1,true,3,7,Amp,,0.967437,N,N,N,Y,82.944763,64.173248,,
11,A11,false,N10,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.640996,14.418594,0.293441,,-10.752564,0.312688,0.18053,,false,1,true,3,8,Amp,,0.964991,N,N,N,Y,83.092407,64.321655,,
12,A12,false,N10,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.528775,14.418594,0.293441,,-10.752564,0.312688,0.18053,,false,1,true,3,7,Amp,,0.965312,N,N,N,Y,83.092407,64.470627,,
13,B1,false,N04,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.11379,25.093431,0.093419,,,,,,false,1,true,3,17,Amp,,0.976483,N,N,N,N,80.710388,,,
14,B2,false,N04,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.991512,25.093431,0.093419,,,,,,false,1,true,3,17,Amp,,0.982472,N,N,N,N,80.710388,,,
15,B3,false,N04,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.174994,25.093431,0.093419,,,,,,false,1,true,3,16,Amp,,0.971965,N,N,N,N,81.009773,,,
16,B4,false,N06,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.911972,25.064901,0.134198,,,,,,false,1,true,3,17,Amp,,0.977596,N,N,N,N,81.009773,,,
17,B5,false,N06,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.163013,25.064901,0.134198,,,,,,false,1,true,3,17,Amp,,0.967008,N,N,N,N,80.859238,,,
18,B6,false,N06,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.119719,25.064901,0.134198,,,,,,false,1,true,3,18,Amp,,0.963717,N,N,N,N,80.859238,,,
19,B7,false,N08,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.526384,25.302284,0.228475,,,,,,false,1,true,3,18,Amp,,0.955189,N,N,N,N,80.858414,,,
20,B8,false,N08,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.069672,25.302284,0.228475,,,,,,false,1,true,3,17,Amp,,0.970553,N,N,N,N,80.858414,,,
21,B9,false,N08,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.3108,25.302284,0.228475,,,,,,false,1,true,3,18,Amp,,0.96271,N,N,N,N,81.008026,,,
22,B10,false,N10,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.15109,25.171158,0.108011,,,,,,false,1,true,3,17,Amp,,0.96164,N,N,N,N,81.008026,,,
23,B11,false,N10,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.287796,25.171158,0.108011,,,,,,false,1,true,3,17,Amp,,0.967799,N,N,N,N,80.857796,,,
24,B12,false,N10,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.074589,25.171158,0.108011,,,,,,false,1,true,3,16,Amp,,0.967562,N,N,N,N,80.857796,,,
25,C1,false,F04,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.427069,15.698682,0.270417,,-9.299904,0.279399,0.161311,,false,1,true,3,8,Amp,,0.962427,N,N,N,Y,81.455322,66.109741,,
26,C2,false,F04,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.967886,15.698682,0.270417,,-9.299904,0.279399,0.161311,,false,1,true,3,8,Amp,,0.973553,N,N,N,Y,81.455322,65.960754,,
27,C3,false,F04,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.701093,15.698682,0.270417,,-9.299904,0.279399,0.161311,,false,1,true,3,8,Amp,,0.955236,N,N,N,Y,81.754745,65.961296,,
28,C4,false,F06,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.023478,16.23794,0.18675,,-8.780199,0.264036,0.152441,,false,1,true,3,8,Amp,,0.942796,N,N,N,Y,81.754745,65.216316,,
29,C5,false,F06,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.364649,16.23794,0.18675,,-8.780199,0.264036,0.152441,,false,1,true,3,9,Amp,,0.929084,N,N,N,Y,81.75312,65.216309,,
30,C6,false,F06,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.325699,16.23794,0.18675,,-8.780199,0.264036,0.152441,,false,1,true,3,8,Amp,,0.934931,N,N,N,Y,81.604141,65.067329,,
31,C7,false,F08,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.347839,15.722377,0.32908,,-9.460383,0.33086,0.191022,,false,1,true,3,8,Amp,,0.955664,N,N,N,Y,82.646194,64.470444,,
32,C8,false,F08,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.965189,15.722377,0.32908,,-9.460383,0.33086,0.191022,,false,1,true,3,8,Amp,,0.93085,N,N,N,Y,82.646194,64.321465,,
33,C9,false,F08,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.854099,15.722377,0.32908,,-9.460383,0.33086,0.191022,,false,1,true,3,8,Amp,,0.960989,N,N,N,Y,82.795784,64.471207,,
34,C10,false,F10,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.929974,17.286999,1.150583,,-7.589973,1.162099,0.670938,,false,1,true,3,9,Amp,,0.922561,N,N,Y,Y,82.050888,64.769173,,
35,C11,false,F10,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.357252,17.286999,1.150583,,-7.589973,1.162099,0.670938,,false,1,true,3,8,Amp,,0.941716,N,N,Y,Y,82.049591,64.768578,,
36,C12,false,F10,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,18.573772,17.286999,1.150583,,-7.589973,1.162099,0.670938,,false,1,true,3,10,Amp,,0.915924,N,N,Y,Y,81.602669,64.917549,,
37,D1,false,F04,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.027527,24.998587,0.070274,,,,,,false,1,true,3,16,Amp,,0.974503,N,N,N,N,80.710388,,,
38,D2,false,F04,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.049768,24.998587,0.070274,,,,,,false,1,true,3,17,Amp,,0.973702,N,N,N,N,80.710388,,,
39,D3,false,F04,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.918463,24.998587,0.070274,,,,,,false,1,true,3,17,Amp,,0.977862,N,N,N,N,81.009773,,,
40,D4,false,F06,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.811573,25.018143,0.186654,,,,,,false,1,true,3,16,Amp,,0.981779,N,N,N,N,81.009773,,,
41,D5,false,F06,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.174688,25.018143,0.186654,,,,,,false,1,true,3,17,Amp,,0.968537,N,N,N,N,80.859238,,,
42,D6,false,F06,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.068161,25.018143,0.186654,,,,,,false,1,true,3,17,Amp,,0.965992,N,N,N,N,80.859238,,,
43,D7,false,F08,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.143309,25.18276,0.034275,,,,,,false,1,true,3,17,Amp,,0.974599,N,N,N,N,80.709435,,,
44,D8,false,F08,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.205223,25.18276,0.034275,,,,,,false,1,true,3,17,Amp,,0.970188,N,N,N,N,80.709435,,,
45,D9,false,F08,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.199747,25.18276,0.034275,,,,,,false,1,true,3,17,Amp,,0.977907,N,N,N,N,80.859039,,,
46,D10,false,F10,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.845476,24.876974,0.163198,,,,,,false,1,true,3,16,Amp,,0.970296,N,N,N,N,80.859039,,,
47,D11,false,F10,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.053623,24.876974,0.163198,,,,,,false,1,true,3,17,Amp,,0.973872,N,N,N,N,80.708824,,,
48,D12,false,F10,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.73182,24.876974,0.163198,,,,,,false,1,true,3,17,Amp,,0.963074,N,N,N,N,80.857796,,,
49,E1,false,N05,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,20.447672,18.928804,1.499314,,-6.207299,1.525063,0.880496,,false,1,true,3,11,Amp,,0.923262,N,N,Y,Y,81.604309,65.066833,,
50,E2,false,N05,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,18.8889,18.928804,1.499314,,-6.207299,1.525063,0.880496,,false,1,true,3,10,Amp,,0.923099,N,N,Y,Y,82.05127,64.917847,,
51,E3,false,N05,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,17.44984,18.928804,1.499314,,-6.207299,1.525063,0.880496,,false,1,true,3,9,Amp,,0.94638,N,N,Y,Y,82.648712,64.918327,,
52,E4,false,N07,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.47689,16.730614,0.220287,,-8.770953,0.282381,0.163033,,false,1,true,3,8,Amp,,0.920035,N,N,N,Y,82.797714,64.769333,,
53,E5,false,N07,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.873116,16.730614,0.220287,,-8.770953,0.282381,0.163033,,false,1,true,3,9,Amp,,0.958526,N,N,N,Y,82.647003,64.620392,,
54,E6,false,N07,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.841837,16.730614,0.220287,,-8.770953,0.282381,0.163033,,false,1,true,3,8,Amp,,0.967084,N,N,N,Y,82.647003,64.620392,,
55,E7,false,N09,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.375975,16.257401,0.113631,,-8.897941,0.124535,0.071901,,false,1,true,3,8,Amp,,0.965389,N,N,N,Y,82.94416,64.470444,,
56,E8,false,N09,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.14946,16.257401,0.113631,,-8.897941,0.124535,0.071901,,false,1,true,3,8,Amp,,0.954285,N,N,N,Y,82.94416,64.470444,,
57,E9,false,N09,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.246769,16.257401,0.113631,,-8.897941,0.124535,0.071901,,false,1,true,3,8,Amp,,0.960637,N,N,N,Y,82.944763,64.322227,,
58,E10,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,17.213263,17.153906,1.408628,,,,,,false,1,true,3,9,Amp,,0.952906,N,N,Y,N,83.09375,,,
59,E11,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.716538,17.153906,1.408628,,,,,,false,1,true,3,8,Amp,,0.963493,N,N,Y,N,82.943436,,,
60,E12,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,18.531918,17.153906,1.408628,,,,,,false,1,true,3,10,Amp,,0.939137,N,N,Y,Y,83.092407,65.662422,,
61,F1,false,N05,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.82332,25.136103,0.27906,,,,,,false,1,true,3,16,Amp,,0.978318,N,N,N,N,80.710388,,,
62,F2,false,N05,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.225414,25.136103,0.27906,,,,,,false,1,true,3,16,Amp,,0.981041,N,N,N,N,80.710388,,,
